"";"Q0_Ouv_point_noir";"Q0_Ouv_commentaires"
"5208";"rue de Rivoli et la place de la bastille";"encore trop peu considéré par les automobilistes et les livreurs"
"5209";"Les grands axes (ex. boulevards) et voies bus partagées circulées par des taxis peu respectueux des vélos";NA
"5210";"Les traversées est-ouest ou nord-sud
Les accès aux bois
Les maréchaux
La circulation avec des enfants en général";NA
"5211";"les grands axes  .   bd Vaugirard, hausmann";"Le peu d'équipement dédié aux vélos n'est pas respecté par les voitures et surtout les deux roues motorisés, voies de bus, bandes et pistes cyclables, contre sens sont souvent ignorés par les scooters.  Pour exemple la piste cyclable sur le pont de la concorde n'existe plus pour les vélos. C'est systématique aux heures de pointe et très peu de verbalisation."
"5212";"Dans les voies réservées aux bus";NA
"5213";"Gares grands axes";NA
"5214";"Les ronds points géants comme la place de la Bastille, la place de la concorde, et les autoroutes urbaines d'un autre temps comme la rue de Rivoli, l'avenue des Champs Elysées";"Réduire la circulation automobile, lutter contre la circulation des motos et scooters dans les pistes cyclables"
"5215";"Carrefours de périphériques
Quai de la rapée";NA
"5216";"Le peripherique! A vegetaliser";NA
"5217";"Les grands axes avec des voies bus/vélo utilisées (sans en avoir le droit)  par les deux roues motorisées. Cela y densifie la circulation et bloque souvent des endroits où des vélos pourraient passer.";NA
"5218";"Axe Rue Dormoy Rue de la chapelle; Boulevard Saint-Germain: vélos dans le couloir de bus avec présence de nombreux deux-roues motorisés, et non respect par taxis et bus de la distance de sécurité avec les vélos";"Verbaliser massivement les deux-roues motorisés circulant dans les couloirs de bus
Faire respecter l'espace réservé aux vélos au niveau des feux
Verbaliser particuliers, taxis et chauffeurs de bus ne respectant pas les distances de sécurité avec les vélos"
"5219";"La sécurité, le comportement des deux roues motorisés et des voitures et le non respect des pistes cyclables";NA
"5220";"arrondissements centre et est, 1, 2, 3, 4, 9, 10, 11, 18, 19 20eme";NA
"5221";"Concorde";NA
"5222";"les vehicule garer en double fil ou pire";"Sanctionner tous stationement abusif comme les camion de livraison en double fils"
"5223";"Rond point des Champs Élysée";"Former les policiers à respecter les cyclistes  qui sont Dans leur droit"
"5224";"Le carrefour du boulevard des Gobelins et du boulevard Saint-Marcel";NA
"5225";"grands axes sans pistes cyclables";NA
"5226";"grands boulevards, paris 8e, nation,";NA
"5227";"Rue FBG du temple et Rue Turbigo (contre-sens vélo sur 300m aux Halles puis, RIEN sur les 2,5 km qui restent des deux rues jusque rue Belleville) obligeant un grand détour d’1km!!";NA
"5228";"quai de seine rive droite, au droit de l'hotel de ville";NA
"5229";"Les liaisons avec la banlieue";NA
"5230";"J'utilise les pistes cyclables du Bd des Maréchaux depuis Porte Dorée jusqu'à Porte de Montreuil, en ayant traversé le Bois de Vincennes depuis les bords de Marne de Créteil soit 40 minutes. Globalement cet itinéraire est correct quoique pas toujours bien entretenu. Par contre la circulation dans Paris reste problématique. Je ne suis pas tranquille, je dois rester en vigilance permanente.";"Plus d'informations sur le partage vélo/voiture. Une réelle campagne de signalisation commune pour les vélos et voitures. Il faudrait que le cyclistes respectent le code de la route qui s'applique aussi à eux. Cela aurait pour effet un respect partagé ?"
"5231";"De manière générale : les voies de bus également pistes cyclables empruntées également par les taxis qui ne respectent pas les distances de sécurités pour dépasser les vélos. Un endroit localisé : la place de la concorde.";"Les cyclistes ont parfois des comportements dangereux entre eux, ils seraient intéressant de refaire des campagnes sur la sécurité auprès des cyclistes (port du casque, utilisation des pistes cyclables, respect des feux etc)"
"5232";"A proximité des gares";"Pas d'entretien des pistes cyclables"
"5233";NA;"C'est dangereux de circuler à vélo. Pas de respect des autres utilisateurs."
"5234";"`place de la Concorde";"encore des efforts à faire (plus de pistes cyclables, moins de voitures et deux-roues"
"5235";"L'ensemble des zones pavées";NA
"5236";"boulevard de l'hopital à quai da la rapée
Certains conducteurs d'autobus ont délibérément approché la bicyclette";"Certains conducteurs d'autobus et automobilistes se rapprochent délibérément du vélo!
Les piétons traversant la route ne regardent jamais la voiture et se tiennent sur la ligne de vélo!"
"5237";"voies de bus trop étroites et mortelles";NA
"5238";"Les carrefours, les rues à contre sens cyclables pas assez large. Et l'ingénieur qui a mis dans des rues un stationnement à droite uniquement et la piste vélo à contre sens également à droite et juste un crétin.  (ou alors il ne fait jamais de vélo)";"Les pistes ne sont pas entretenues, il y a des trous sur les pistes cyclables, des feuilles en automne cela est très glissant. Pas assez de verbalisation des taxis qui vous serrent sur les voies partagées.   Et aussi beaucoup d'utilisateurs de Vélib complétement inconscients, qui grillent les feux (je me fait régulièrement traité de conasse quand je stationne au feu, et je me suis aussi fait rentré dedans 2 fois par un autre vélo surpris que je m’arrête). Ils passent près des piétons, ce qui fait que la cohabitation piétons/cyclistes devient compliqués. Je me déplace en vélo à Paris depuis environ 15 ans, les pistes cyclables s'améliorent, la fermeture des quais est un régal (bien que je déplore de ne pas trouver un plan qui indique les entrées et les sorties, pour les vélos). Mais un trop grand nombre d'utilisateurs peu respectueux entrain des conflits au quotidien."
"5239";"Les grands axes";"Ras"
"5240";"Les itinéraires partagés (voiture / piétons)";"non"
"5241";"Les grandes artères avec beaucoup de flux véhicules et deux roues motorisés + les carrefours (quai des tuileries, quai Anatole France...). Les rues avec des pavées.";NA
"5242";"rue du faubourg poissonnière";NA
"5243";"Partout !";"Je dirais qu'a Paris la politique du vélo est comme votre questionnaire.... simplement un argument politique ou de lobbyng"
"5244";"les intersections, les ""portes"" d'entrée ou de sortie de periph,";"le problème majeur ce n'est pas le manque d'équipement pour les vélos, mais les mentalités des conducteur/trices de véhicules motorisés, ensuite on pourra voir quels sont leviers pour améliorer le réseau cyclable"
"5245";"De manière générale, partout car :
> Peu de respect entre piétons et cyclistes / entre véhicules motorisés et cyclistes / en cyclistes eux-mêmes ; il y a beaucoup d'incivilité, ce tous les jours
> Les pistes cyclables sont souvent confondues avec des zones de stationnement temporaires
> Lors des travaux, peu de solutions alternatives

Zones très dangereuses = Bastille, République";"Paris reste une ville construite pour les voitures, piste cyclable ou pas. En vélo comme à pied ou en voiture, moto... l'incivilité est permanente. Nous avons besoin de plus de concertation entre les différents usagers, avec la ville, etc ; Se parler vraiment"
"5246";"....";NA
"5247";"La traversée des carrefours (exemple la place Denfert-Rochereau est perilleuse)
";"Afficher une politique en faveur de l’usage du vélo plus visible et plus convainquant, tout particulièrement à l’approche de l’hivers où l’idée de prendre une bicyclette va faiblir"
"5248";"Les grands rond-points (ex : Colonel Fabien, porte de Montreuil)";NA
"5249";"Dans les carrefours où l'on veut tourner à gauche";"On commence à être vraiment beaucoup à utiliser le vélo au quotidien, c'est très bien, mais le réseau commence déjà à être sous dimensionné (en particulier pistes cyclables pas assez larges). Par ailleurs, ça va de pair avec beaucoup plus de comportements très dangereux de certains cyclistes, ce qui nuit à l'image du vélo, crispe les motorisés (parfois à raison il faut le reconnaître) et augmente la dangerosité pour tout le monde. Il faut vraiment développer le civisme sur la route pour tous les publics."
"5250";"Rue d'Artois (entre la rue du fbg St Honoré et l'av de Friedland)";"Ce qui manque le plus pour circuler à vélo à Paris : des parkings à vélos et des pistes cyclables dans les quartiers riches"
"5251";"Selon moi les endroits les plus problématiques sont ceux où les espaces routiers dédiés au cyclistes et au automobilistes sont partagés sans distinction (exemple: place Charles de Gaulle, place de la Concorde) . Les autres espaces les plus dangereux sont ceux où la piste cyclable est étroite empruntée par les scooters et motos , avec des intersections fréquentes et mal indiquées (exemple: rue de rivoli, boulevard magenta, boulevard beaumarchais)";NA
"5252";"Grands boulevards";"Les voitures et autres véhicules motorisées garées sur les pistes cyclables devraient être sévèrement punis. On n'a jamais vu une voiture ou une moto s'arrêter en plein milieu d'une route pour se garer et bloquer la circulation ! Cela devrait être la même chose pour les pistes cyclables. Ce sont des routes au même titre que celles empruntées par les voitures."
"5253";"La grande majorité des portes
Place de la Bastille
Place de la Concorde";"Le problème majeure est qu'énormément de véhicules stationnent temporairement sur les pistes (en warning) et ne sont donc pas verbalisés. Cela oblige à un écart qui est au final plus dangereux que de rouler sur une rue sans piste cyclable."
"5254";"Place de la bastille
Carrefour rue du fg st Martin et rue de magenta cote sud en direction de la république";NA
"5255";"place de la bastille";NA
